,estado,renda
0,brasil,1373
1,rondonia,1113
2,acre,909
3,amazonas,791
4,roraima,1204
5,para,863
6,amapa,857
7,tocantins,1045
8,maranhao,605
9,piaui,817
10,ceara,855
11,rio grande do norte,956
12,paraiba,898
13,pernambuco,871
14,alagoas,714
15,sergipe,906
16,bahia,841
17,minas gerais,1322
18,espirito santo,1295
19,rio de janeiro,1689
20,sao paulo,1898
21,parana,1607
22,santa catarina,1660
23,rio grande do sul,1705
24,mato grosso do sul,1439
25,mato grosso,1386
26,goias,1323
27,distrito federal,2460
