,estado,renda
0,brasil,1268
1,rondonia,957
2,acre,769
3,amazonas,850
4,roraima,1006
5,para,715
6,amapa,936
7,tocantins,937
8,maranhao,597
9,piaui,750
10,ceara,824
11,rio grande do norte,845
12,paraiba,928
13,pernambuco,852
14,alagoas,658
15,sergipe,834
16,bahia,862
17,minas gerais,1224
18,espirito santo,1205
19,rio de janeiro,1445
20,sao paulo,1712
21,parana,1472
22,santa catarina,1597
23,rio grande do sul,1635
24,mato grosso do sul,1291
25,mato grosso,1247
26,goias,1277
27,distrito federal,2548
