,estado,renda
0,brasil,1226
1,rondonia,901
2,acre,761
3,amazonas,739
4,roraima,1068
5,para,708
6,amapa,881
7,tocantins,863
8,maranhao,575
9,piaui,747
10,ceara,751
11,rio grande do norte,919
12,paraiba,790
13,pernambuco,872
14,alagoas,662
15,sergipe,878
16,bahia,773
17,minas gerais,1168
18,espirito santo,1157
19,rio de janeiro,1429
20,sao paulo,1723
21,parana,1398
22,santa catarina,1458
23,rio grande do sul,1554
24,mato grosso do sul,1283
25,mato grosso,1139
26,goias,1140
27,distrito federal,2351
